nl,code,utils
"user information lookup program the user's home directory, home “<u>.pgpkey</u>” files. the users' real names, unless",finger -l -m -p,finger
Lists all top-level files in a '/home/dreftymac/' folder.,ls arg,ls
find md5sum of 'string to be hashed',md5 arg,md5
"return working directory name use pwd from environment, even avoid all symlinks",pwd -L --physical,pwd
strip directory and suffix from filenames remove a trailing suffix; implies end each output line with,basename --suffix arg --zero arg,basename
display all the .sh scripts in the folder /usr,find arg -name arg,find
print arguments,echo,echo
,history arg,history
locate a command,which arg,which
display Linux processes starts top with the last specifies the delay between screen specifies the name of the monitor only processes with specified starts top with secure mode,top -c -d -Timespan -p arg,top
make links between files like <b>--backup</b> but does not remove existing destination files,ln -b --force arg arg arg,ln
print or set the system date and time set time described by string,date --set arg,date
"Remove all subdirectories of the current directory, except for ""bar"", ""foo"", ""a"", and ""b""",find arg -maxdepth arg -type d,find
"reverse lines characterwise display version information and exit. and report or omit repeated lines prefix lines by the number only print duplicate lines, one and pattern-directed scanning and processing language and remove sections from each line of files select only these bytes select only these fields; also use string as the output from first to m'th (included)",rev -V | uniq -c --repeated | awk | cut arg -b arg --fields arg --output-delimiter arg,uniq awk rev cut
"columnate lists output is formatted for a whitespace, by default, or with fill columns before filling rows. using the <b>-t</b> option; this do not ignore empty lines.",column -c -Quantity -n -t -x,column
"translate or delete characters use the complement of set1 delete characters in set1, do replace each sequence of a",tr -d -s --complement,tr
"Split ""file.txt"" into files of at most 1 MiB in size with a numeric suffix, prefix ""file"", and additional suffix "".txt""",split -b Size -d arg arg,split
change the file modes like verbose but report only change files and directories recursively,chmod -R -c arg arg,chmod
display system documentation print debugging information. specify the sequence of preprocessors chosen device. if <u>groff</u> <u>-mandoc</u>,man -d -p arg,man
display status of jobs in the current session,jobs,jobs
"display all the files in the folder /mp3-collection which are bigger than 10MB or which start with the name ""Metallica""",find arg -name arg -or -size,find
compress data,compress,compress
return true value and delay for a specified amount of time and delay for a specified amount of time display this help and exit,true | sleep Timespan | sleep --help Timespan,true sleep
print sequences of numbers use printf style floating-point format equalize width by padding with,seq -w --format ARG arg arg arg,seq
,] arg,]
"search the manual page names and descriptions only display items that match interrogates various environment variables, possibly use this user configuration file and  interpret <u>pattern</u> as a basic surround the matched (non-empty) strings,",apropos arg | grep -G --color ARG arg,apropos grep
remove sections from each line of files select only these characters use string as the output,cut --characters arg --output-delimiter arg,cut
"Print ""new.txt"" with line numbers prepended and lines 3 and 4 deleted",cat arg | nl | sed,nl sed cat
strip directory and suffix from filenames support multiple arguments and treat remove a trailing suffix; implies end each output line with,basename -a --suffix arg --zero arg,basename
"Nano's ANOther editor, an enhanced free Pico clone convert typed tabs to spaces.",nano --tabstospaces,nano
"send ICMP ECHO_REQUEST packets to network hosts stop after sending (and receiving) set the so_debug option on buffer on returned packets. note is not on a directly-attached and output the last part of files output the last num lines, with <b>--follow</b>=<u>name</u>, reopen a file never output headers giving file with <b>-f</b>, sleep for approximately and pattern-directed scanning and processing language and stream editor for filtering and transforming text consider files as separate rather",ping -R -c -Quantity -r arg | tail -n -Quantity arg --max-unchanged-stats arg --quiet | awk | sed -s Program,awk ping tail sed
"execute a program periodically, showing output fullscreen",watch,watch
expand compressed data,uncompress,uncompress
Count lines of list contents of directory,ls | wc -l,wc ls
"copy the first part of files line delimiter is nul, not",head - arg,head
"set or unset options and positional parameters and stream editor for filtering and transforming text specify the desired line-wrap length use extended regular expressions in consider files as separate rather and dump files in octal and other formats same as <b>-t</b> c, select",set | sed Program -s --line-length arg arg | od -c,set od sed
